Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
656352,An Underground Life:  Memoirs of a Gay Jew in Nazi Berlin,Gad Beck,"Beck, Gad","Frank Heibert, Allison Brown","=""0299165043""","=""9780299165048""",0,3.93,University of Wisconsin Press,Paperback,176,2000,1995,,2020/08/06,to-read,to-read (#729),to-read,,,,0,,,0,,,,,
50485581,How to Stay Sane in an Age of Division,Elif Shafak,"Shafak, Elif",,"=""1788165721""","=""9781788165723""",0,4.10,Wellcome Collection,Paperback,96,2020,2020,,2020/08/03,to-read,to-read (#725),to-read,,,,0,,,0,,,,,
9737373,Il libro di Alice,Alice Sturiale,"Sturiale, Alice",,"=""8817664243""","=""9788817664240""",0,3.90,Rizzoli ,Paperback,256,1997,1997,,2020/03/07,to-read,to-read (#277),to-read,,,,0,,,0,,,,,
27706049,I pirati della Malesia,Emilio Salgari,"Salgari, Emilio",,"=""151412632X""","=""9781514126325""",0,3.89,Createspace Independent Publishing Platform,Paperback,262,2015,1896,,2020/05/26,to-read,to-read (#510),to-read,,,,0,,,0,,,,,
26877643,Human Body Theater: A Non-Fiction Revue,Maris Wicks,"Wicks, Maris",,"=""""","=""""",0,4.39,First Second,Kindle Edition,240,2015,2015,2020/07/30,2020/02/09,,,read,,,,1,,,0,,,,,
400560,Crip Theory: Cultural Signs of Queerness and Disability,Robert McRuer,"McRuer, Robert",Michael Bérubé,"=""0814757138""","=""9780814757130""",0,3.97,New York University Press,Paperback,281,2006,2006,,2020/07/30,to-read,to-read (#720),to-read,,,,0,,,0,,,,,
45185583,Laura Dean Keeps Breaking Up with Me,Mariko Tamaki,"Tamaki, Mariko",Rosemary Valero-O'Connell,"=""""","=""""",0,3.92,First Second,Kindle Edition,304,2019,2019,2020/07/29,2020/05/27,,,read,,,,1,,,0,,,,,
50368727,Glass Town: The Imaginary World of the Brontës,Isabel Greenberg,"Greenberg, Isabel",,"=""""","=""""",0,3.94,Abrams ComicArts,Kindle Edition,224,2020,2020,2020/07/29,2020/04/19,,,read,,,,1,,,0,,,,,
48712678,E poi basta: Manifesto di una donna nera italiana,Espérance Hakuzwimana Ripanti,"Ripanti, Espérance Hakuzwimana",,"=""8832089335""","=""9788832089332""",0,3.56,People,Paperback,240,2019,2019,,2020/07/05,to-read,to-read (#639),to-read,,,,0,,,0,,,,,
26021063,Donne,Andrea Camilleri,"Camilleri, Andrea",,"=""""","=""""",0,3.49,Rizzoli,Paperback,212,2015,2014,,2020/07/19,to-read,to-read (#666),to-read,,,,0,,,0,,,,,
6474438,Pecore nere: Racconti,Gabriella Kuruvilla,"Kuruvilla, Gabriella","Ingy Mubiayi, Igiaba Scego, Laila Wadia, Flavia Capitani, Emanuele Coen","=""8842077976""","=""9788842077978""",0,3.67,Laterza,Paperback,137,2005,2005,,2020/07/19,to-read,to-read (#667),to-read,,,,0,,,0,,,,,
38958846,"Sheets (Sheets, #1)",Brenna Thummler,"Thummler, Brenna",,"=""194130267X""","=""9781941302675""",0,3.85,Oni Press,Paperback,239,2018,2018,2020/07/24,2020/07/14,,,read,,,,1,,,0,,,,,
36538872,Judas,Jeff Loveness,"Loveness, Jeff",Jakub Rebelka,"=""1684152216""","=""9781684152216""",0,4.26,BOOM! Studios,Paperback,112,2018,2018,2020/07/24,2020/07/24,,,read,,,,1,,,0,,,,,
41566865,Breaking & Mending: A Doctor’s Story of Burnout and Recovery,Joanna  Cannon,"Cannon, Joanna",,"=""""","=""""",0,4.27,Wellcome Collection,Kindle Edition,160,2019,2019,,2020/07/24,to-read,to-read (#710),to-read,,,,0,,,0,,,,,
228244,"This Way for the Gas, Ladies and Gentlemen",Tadeusz Borowski,"Borowski, Tadeusz","Barbara Vedder, Jan Kott, Michael Kandel","=""0140186247""","=""9780140186246""",0,4.14,Penguin,Paperback,180,1992,1946,,2020/07/24,to-read,to-read (#709),to-read,,,,0,,,0,,,,,
22436944,Soppy,Philippa Rice,"Rice, Philippa",,"=""""","=""""",0,4.25,"Andrews McMeel Publishing, LLC",Kindle Edition,112,2014,2014,2020/07/23,2020/03/12,,,read,,,,1,,,0,,,,,
44094014,Homie,Danez Smith,"Smith, Danez",,"=""1644450100""","=""9781644450109""",0,4.45,Graywolf Press,Paperback,96,2020,2020,2020/06/22,2020/05/12,rec-favorites,rec-favorites (#8),read,"I tend to not rate books anymore, but this book. This book is a masterpiece. I haven’t read such a powerful work of poetry by an author since Terrance Hayes. Truly a new favorite that everyone, and I mean everyone should read. ",,,1,,,0,,,,,
50196744,Know My Name,Chanel Miller,"Miller, Chanel",,"=""0735223718""","=""9780735223714""",0,4.72,Viking,ebook,368,2019,2019,2020/06/11,2020/05/07,,,read,"Incredibly powerful and impactful - I cried, I fumed, I stared off into the distance in thought. Simple in prose, but incredible in message and substance, this is a book everyone should read.<br/><br/>I do want to add though that this is a very difficult book to read, and I would recommend to anyone going into it to take their time and digest the content at your own pace. ",,,1,,,0,,,,,
52544242,Tongues of Fire,Seán Hewitt,"Hewitt, Seán",,"=""1787332268""","=""9781787332263""",0,4.30,Jonathan Cape,Paperback,80,2020,2020,,2020/07/22,to-read,to-read (#706),to-read,,,,0,,,0,,,,,
738083,Meeting the Universe Halfway: Quantum Physics and the Entanglement of Matter and Meaning,Karen Barad,"Barad, Karen",,"=""082233917X""","=""9780822339175""",0,4.37,Duke University Press,Paperback,524,2007,2006,,2020/05/01,"to-read, rec-to-me","to-read (#433), rec-to-me (#44)",to-read,,,,0,,,0,,,,,
34808115,Tuff,Paul Beatty,"Beatty, Paul",,"=""""","=""9781786072238""",0,3.79,OneWorld ,Paperback,320,2017,1998,,2020/07/14,to-read,to-read (#658),to-read,,,,0,,,0,,,,,
